URL;LAT;LON
https://www.tripadvisor.it/Hotel_Review-g652003-d2676963-Reviews-Bed_and_Breakfast_La_Casetta-Monopoli_Province_of_Bari_Puglia.html;40.9872098;17.2164423
https://www.tripadvisor.it/Hotel_Review-g580227-d10463736-Reviews-Trulli_Family-Alberobello_Province_of_Bari_Puglia.html;40.7848245;17.2385066
https://www.tripadvisor.it/Hotel_Review-g635875-d10677282-Reviews-Echi_di_Puglia_Resort-Polignano_a_Mare_Province_of_Bari_Puglia.html;40.9886888;17.2162183
https://www.tripadvisor.it/Hotel_Review-g1080433-d1493327-Reviews-Trulli_Terra_Magica-Putignano_Province_of_Bari_Puglia.html;40.8364781;17.1225691
https://www.tripadvisor.it/Hotel_Review-g580227-d1149322-Reviews-Tipico_Suite-Alberobello_Province_of_Bari_Puglia.html;40.7823539;17.2376534
https://www.tripadvisor.it/Hotel_Review-g580227-d1830192-Reviews-Trulli_del_Bosco-Alberobello_Province_of_Bari_Puglia.html;40.76021;17.2362706
https://www.tripadvisor.it/Hotel_Review-g580227-d1547823-Reviews-Trulli_e_Puglia_B_B-Alberobello_Province_of_Bari_Puglia.html;40.7814037;17.2362957
https://www.tripadvisor.it/Hotel_Review-g635875-d10236598-Reviews-Suite_10-Polignano_a_Mare_Province_of_Bari_Puglia.html;40.9957952;17.2156874
https://www.tripadvisor.it/Hotel_Review-g663579-d5561879-Reviews-Verdeoliva_Bed_Breakfast-Modugno_Province_of_Bari_Puglia.html;41.0862294;16.8146878
https://www.tripadvisor.it/Hotel_Review-g651999-d1960740-Reviews-Casa_MariAngi-Castellana_Grotte_Province_of_Bari_Puglia.html;40.87274499999999;17.168198
https://www.tripadvisor.it/Hotel_Review-g5018076-d610346-Reviews-La_Peschiera-Capitolo_Monopoli_Province_of_Bari_Puglia.html;40.900947;17.360158
https://www.tripadvisor.it/Hotel_Review-g652003-d4946218-Reviews-Le_Contrade-Monopoli_Province_of_Bari_Puglia.html;40.952442;17.303298
https://www.tripadvisor.it/Restaurant_Review-g635875-d5856931-Reviews-Masseria_Torre_Catena-Polignano_a_Mare_Province_of_Bari_Puglia.html;40.9449242;17.1796067
https://www.tripadvisor.it/Hotel_Review-g651999-d8494742-Reviews-Relais_La_Masseriola-Castellana_Grotte_Province_of_Bari_Puglia.html;40.848365;17.209312
https://www.tripadvisor.it/Hotel_Review-g580227-d10119774-Reviews-Domus_Antiqua_Residence-Alberobello_Province_of_Bari_Puglia.html;40.7881723;17.2416962
https://www.tripadvisor.it/Hotel_Review-g1057217-d1057218-Reviews-Il_Viottolo_B_B-Noci_Province_of_Bari_Puglia.html;40.793902;17.1258599
https://www.tripadvisor.it/Hotel_Review-g659608-d12822021-Reviews-Porto_di_mare-Giovinazzo_Province_of_Bari_Puglia.html;41.188243;16.6693687
https://www.tripadvisor.it/Hotel_Review-g1028921-d1047992-Reviews-Hotel_Pineta-Ruvo_Di_Puglia_Province_of_Bari_Puglia.html;41.12282;16.4869435
https://www.tripadvisor.it/Hotel_Review-g2533537-d5540481-Reviews-Villa_Nicolaus_Bed_Breakfast-Palese_Bari_Province_of_Bari_Puglia.html;41.148871;16.7785379
https://www.tripadvisor.it/Hotel_Review-g635875-d1889797-Reviews-B_B_Petali_Rosa-Polignano_a_Mare_Province_of_Bari_Puglia.html;40.9939873;17.223989
https://www.tripadvisor.it/Hotel_Review-g635875-d6721686-Reviews-Relais_del_Senatore-Polignano_a_Mare_Province_of_Bari_Puglia.html;40.99624439999999;17.2198617
https://www.tripadvisor.it/Hotel_Review-g580227-d2282247-Reviews-Art_B_B_Joyful_People-Alberobello_Province_of_Bari_Puglia.html;40.80019799999999;17.259049
https://www.tripadvisor.it/Hotel_Review-g2369850-d567461-Reviews-Barion_Hotel_Congressi-Torre_a_Mare_Province_of_Bari_Puglia.html;41.079551;17.029941
