URL;NAME;ADDRESS;CITY;RATINGS;ABOUT;AVG RATINGS;SERVICES;ABOUT ROOMS
https://www.tripadvisor.it/Hotel_Review-g1057217-d1057218-Reviews-Il_Viottolo_B_B-Noci_Province_of_Bari_Puglia.html;Il Viottolo B&B;Alberobello, Puglia;70015 Noci, ;84;-;5;Piscina Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Colazione inclusa Accessibile in sedia a rotelle Hotel non fumatori Piscina all'aperto Trasporti per l'aeroporto ;Caratteristiche delle camere Aria condizionata Camere per famiglie
https://www.tripadvisor.it/Hotel_Review-g659608-d12822021-Reviews-Porto_di_mare-Giovinazzo_Province_of_Bari_Puglia.html;Porto di mare;Via Il Crocifisso 9;70054 Giovinazzo, ;40;-;5;Internet ad alta velocità gratuito (WiFi) Servizio navetta Trasporti per l'aeroporto;Caratteristiche delle camere Aria condizionata Camere per famiglie 
https://www.tripadvisor.it/Hotel_Review-g1028921-d1047992-Reviews-Hotel_Pineta-Ruvo_Di_Puglia_Province_of_Bari_Puglia.html;Hotel Pineta;Via Carlo Marx 5;70037 Ruvo Di Puglia, ;436;-;4;Piscina Servizio in camera Parcheggio gratuito Ristorante Internet ad alta velocità gratuito (WiFi) Centro fitness con palestra/sala fitness Bar/Lounge Spa;Caratteristiche delle camere Aria condizionata Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie 
https://www.tripadvisor.it/Hotel_Review-g2533537-d5540481-Reviews-Villa_Nicolaus_Bed_Breakfast-Palese_Bari_Province_of_Bari_Puglia.html;Villa Nicolaus Bed & Breakfast;Viale Gabriele d'Annunzio 2;70128 Palese, Bari, ;55;-;5;Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Hotel non fumatori Servizio lavanderia Servizio navetta Wi-Fi pubblico ;Caratteristiche delle camere Aria condizionata Camere non fumatori
https://www.tripadvisor.it/Hotel_Review-g635875-d1889797-Reviews-B_B_Petali_Rosa-Polignano_a_Mare_Province_of_Bari_Puglia.html;B&B Petali Rosa;Piazza Sant'Antonio;70044 Polignano a Mare, ;323;Certificato di Eccellenza;4.5;Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Colazione inclusa Accessibile in sedia a rotelle Animali domestici ammessi Hotel non fumatori Servizio di babysitter Servizio lavanderia ;Caratteristiche delle camere Aria condizionata Frigorifero in camera Minibar Camere per famiglie Cucinino Suite
https://www.tripadvisor.it/Hotel_Review-g635875-d6721686-Reviews-Relais_del_Senatore-Polignano_a_Mare_Province_of_Bari_Puglia.html;Relais del Senatore;Via San Benedetto 33;70044 Polignano a Mare, ;117;Certificato di Eccellenza;4.5;Internet ad alta velocità gratuito (WiFi) Colazione inclusa Animali domestici ammessi Hotel non fumatori Wi-Fi pubblico ;Caratteristiche delle camere Aria condizionata Frigorifero in camera Minibar Camere non fumatori Suite 
https://www.tripadvisor.it/Hotel_Review-g580227-d2282247-Reviews-Art_B_B_Joyful_People-Alberobello_Province_of_Bari_Puglia.html;Art B&B Joyful People;Viale Apulia 10;70011, Alberobello, ;183;Certificato di Eccellenza;4.5;Servizio in camera Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Colazione inclusa Hotel non fumatori Sale riunioni Servizio lavanderia Servizio navetta ;Caratteristiche delle camere Camere non fumatori
https://www.tripadvisor.it/Hotel_Review-g2369850-d567461-Reviews-Barion_Hotel_Congressi-Torre_a_Mare_Province_of_Bari_Puglia.html;Barion Hotel & Congressi;Strada Statale 16 Per Brindisi Km 816;70126 Torre a Mare, ;775;-;4;Ristorante Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Servizio in camera Bar/Lounge Colazione inclusa Centro fitness con palestra/sala fitness Accessibile in sedia a rotelle ;Caratteristiche delle camere Aria condizionata Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie Suite
https://www.tripadvisor.it/Hotel_Review-g652003-d3585785-Reviews-Palazzo_Indelli-Monopoli_Province_of_Bari_Puglia.html;Palazzo Indelli;Piazza garibaldi 27;70043, Monopoli, ;235;-;4;Ristorante Internet ad alta velocità gratuito (WiFi) Colazione inclusa Servizio in camera Accessibile in sedia a rotelle Animali domestici ammessi Campo da golf Concierge;Caratteristiche delle camere Aria condizionata Minibar Camere non fumatori Suite
https://www.tripadvisor.it/Hotel_Review-g652003-d3235663-Reviews-Masseria_Garrappa_B_B-Monopoli_Province_of_Bari_Puglia.html;Masseria Garrappa B&B;Contrada Losciale, 85;70043, Monopoli, ;97;Certificato di Eccellenza;4.5;Parcheggio gratuito Ristorante Bar/Lounge Internet ad alta velocità gratuito (WiFi) Colazione inclusa Campo da golf Centro congressi con accesso a Internet Hotel non fumatori ;Caratteristiche delle camere Aria condizionata Minibar Camere non fumatori Camere per famiglie Suite
